"Year","Sample","Temp_range","moisture","moisture_units","Q10","Species","Latitude","Longitude","Manipulation","Ecosystem_type","Biome","Source","Incubation","notes","StudyName","DOI","Meas_method"
1991,"stand","12_17","20_855","hPa",2.2,"CO2",,,,"forest",,"Brumme1995","field",,"Brumme1995","https://doi.org/10.1007/BF00029373",
1991,"stand","12_17","20_200","hPa",2.5,"CO2",,,,"forest",,"Brumme1995","field",,"Brumme1995","https://doi.org/10.1007/BF00029373",
1991,"stand","12_17","200_400","hPa",1.9,"CO2",,,,"forest",,"Brumme1995","field",,"Brumme1995","https://doi.org/10.1007/BF00029373",
1991,"stand","12_17","400_600","hPa",2.7,"CO2",,,,"forest",,"Brumme1995","field",,"Brumme1995","https://doi.org/10.1007/BF00029373",
1991,"gap center","7_12","20_200","hPa",1.3,"CO2",,,,"forest",,"Brumme1995","field",,"Brumme1995","https://doi.org/10.1007/BF00029373",
1991,"gap center","10_14","20_200","hPa",2.4,"CO2",,,,"forest",,"Brumme1995","field",,"Brumme1995","https://doi.org/10.1007/BF00029373",
1991,"gap center","12_17","20_200","hPa",2.1,"CO2",,,,"forest",,"Brumme1995","field",,"Brumme1995","https://doi.org/10.1007/BF00029373",
,"arable","2_25","60","percent WFPS",2.1,"N2O",,,,"arable",,"Castaldi2000","lab","autotrophic","Castaldi2000","https://doi.org/10.1007/s003740000218",
,"arable","25_40","60","percent WFPS",2,"N2O",,,,"arable",,"Castaldi2000","lab","autotrophic","Castaldi2000","https://doi.org/10.1007/s003740000218",
,"arable","2_25","60","percent WFPS",2,"N2O",,,,"arable",,"Castaldi2000","lab","heterotrophic","Castaldi2000","https://doi.org/10.1007/s003740000218",
,"arable","25_40","60","percent WFPS",3.4,"N2O",,,,"arable",,"Castaldi2000","lab","heterotrophic","Castaldi2000","https://doi.org/10.1007/s003740000218",
,"arable","2_25","60","percent WFPS",8.9,"N2",,,,"arable",,"Castaldi2000","lab",,"Castaldi2000","https://doi.org/10.1007/s003740000218",
,"arable","25_40","60","percent WFPS",9.7,"N2",,,,"arable",,"Castaldi2000","lab",,"Castaldi2000","https://doi.org/10.1007/s003740000218",
,"arable","2_25","60","percent WFPS",2.1,"CO2",,,,"arable",,"Castaldi2000","lab",,"Castaldi2000","https://doi.org/10.1007/s003740000218",
,"arable","25_40","60","percent WFPS",1.9,"CO2",,,,"arable",,"Castaldi2000","lab",,"Castaldi2000","https://doi.org/10.1007/s003740000218",
,"forest","2_25","60","percent WFPS",2.5,"N2",,,,"forest",,"Castaldi2000","lab",,"Castaldi2000","https://doi.org/10.1007/s003740000218",
,"forest","25_40","60","percent WFPS",2.7,"N2",,,,"forest",,"Castaldi2000","lab",,"Castaldi2000","https://doi.org/10.1007/s003740000218",
,"forest","2_25","60","percent WFPS",2.2,"CO2",,,,"forest",,"Castaldi2000","lab",,"Castaldi2000","https://doi.org/10.1007/s003740000218",
,"forest","25_40","60","percent WFPS",1.9,"CO2",,,,"forest",,"Castaldi2000","lab",,"Castaldi2000","https://doi.org/10.1007/s003740000218",
,"Frenchville, ME","10_30","100","percent_fieldcapacity",1.4,"N2O","N 47.2161028","W 68.412227",,"agriculture",,"Chatterjee2020","lab",,,,
,"Jackson, TN","10_30","100","percent_fieldcapacity",10.1,"N2O","N 35.6230","W 88.8465",,"agriculture",,"Chatterjee2020",,,,,
,"Blackville, SC","10_30","100","percent_fieldcapacity",11.4,"N2O","N 33.346539","W 81.297283",,"agriculture",,"Chatterjee2020",,,,,
,"Downer, MN","10_30","100","percent_fieldcapacity",2.14,"N2O","N 46.8655","W 96.396806",,"agriculture",,"Chatterjee2020",,,,,
,"Bismarck, ND","10_30","100","percent_fieldcapacity",0.23,"N2O","N 47.4630","W 101.2772",,"agriculture",,"Chatterjee2020",,,,,
,"Dickinson, ND","10_30","100","percent_fieldcapacity",1.65,"N2O","N 47.19314","W 102.89661",,"agriculture",,"Chatterjee2020",,,,,
,"North Bend, NE","10_30","100","percent_fieldcapacity",1.63,"N2O","N41.429308","W 97.794056",,"agriculture",,"Chatterjee2020",,,,,
,"Pendleton, OR","10_30","100","percent_fieldcapacity",0.53,"N2O","N 45.718439","W 118.626883",,"agriculture",,"Chatterjee2020",,,,,
2004,,"19_34",,,,"N2O","35_00'N","114_24'E",,"Agriculture",,"Ding2006","field",,"Ding2006","https://doi.org/10.1016/j.scitotenv.2006.12.026",
1997,,"15_30","30","percent WFPS",6,"N2O",,,,,,"Ding2006",,,"Flessa2002","https://doi.org/10.1016/S0016-7061(01)00110-0",
2012,,"5_30","60","percent_wfps",,"N2O","116_17'E","42_02'N","fertilizer","grassland",,"Ding2019","lab",,,,
2012,,"5_30","60","percent_wfps",1.98,"N2O","115_26'E","39_58'N","fertilizer","forest",,"Ding2019","lab",,,,
2012,,"5_30","60","percent_wfps",2.24,"N2O","117_49'E","35_26'N","fertilizer","cropland-upland",,"Ding2019","lab",,,,
2012,,"5_30","60","percent_wfps",2.95,"N2O","112_33'E","28_16'N","fertilizer","cropland-paddy",,"Ding2019","lab",,,,
1998,,"2_20","60","percent WFPS",8.3,"N2O",,,,"grassland",,"Dobbie1999","field",,"Dobbie1999","https://doi.org/10.1029/1999JD900378",
,,,,,,,,,,,,"Dobbie1999",,,"Smith1998","https://doi.org/10.1016/S1352-2310(97)00492-5",
,,"5_12",,"percent WFPS",50,"N2O",,,,"arable",,"Grant2008","lab",,"Dobbie2001","https://doi.org/10.1046/j.1365-2389.2001.00395.x",
,,"12_18",,"percent WFPS",9,"N2O",,,,"arable",,"Grant2008","lab",,"Dobbie2001","https://doi.org/10.1046/j.1365-2389.2001.00395.x",
,,"5_12",,"percent WFPS",3.7,"N2O",,,,"grassland",,"Grant2008","lab",,"Dobbie2001","https://doi.org/10.1046/j.1365-2389.2001.00395.x",
,,"12_18",,"percent WFPS",2.3,"N2O",,,,"grassland",,"Grant2008","lab",,"Dobbie2001","https://doi.org/10.1046/j.1365-2389.2001.00395.x",
,"0.1","10_30","0.1","m3m-3",,,,,,"agriculture",,"Grant2008","lab",,"Goodroad1984","https://doi.org/10.1016/0038-0717(84)90123-8",
,"0.2","10_30","0.2","m3m-3",,,,,,"agriculture",,"Grant2008","lab",,"Goodroad1984","https://doi.org/10.1016/0038-0717(84)90123-8",
,"0.3","10_30","0.3","m3m-3",,,,,,"agriculture",,"Grant2008","lab",,"Goodroad1984","https://doi.org/10.1016/0038-0717(84)90123-8",
,,,,,,,,,,,,"Grant2008",,,"Craswell1978",,
,,,,,,,,,,,,"Grant2008",,,"Smith1998",,
,,,,,3.7,,,,,,,"Grant2008","field",,"Parkin2006","https://doi.org/10.2134/jeq2005.0183",
2004,,"10_20","72","percent WFPS",5.4,"N2O",,"control",,,,"Parkin2006",,,"Maag1999","https://doi.org/10.2136/sssaj1999.634858x",
,,"10_20","72","percent WFPS",3.8,"DN",,"control",,,,"Parkin2006",,,"Maag1999","https://doi.org/10.2136/sssaj1999.634858x",
,,"10_20","43","percent WFPS",2.4,"CO2",,"control",,,,"Parkin2006",,,"Maag1999","https://doi.org/10.2136/sssaj1999.634858x",
,,"10_20","57","percent WFPS",2.5,"CO2",,"control",,,,"Parkin2006",,,"Maag1999","https://doi.org/10.2136/sssaj1999.634858x",
,,"10_20","72","percent WFPS",2.1,"CO2",,"control",,,,"Parkin2006",,,"Maag1999","https://doi.org/10.2136/sssaj1999.634858x",
,,"5_15",,,8.3,"DN",,,,,,"Maag1999",,,"Smid1976","https://doi.org/10.4141/cjss76-047",
,,"15_25",,,2.2,"DN",,,,,,"Maag1999",,,"Smid1976","https://doi.org/10.4141/cjss76-047",
2010,"boundary layer analysis",,,,2,"N2O","44_41'19""N","93_4'22""W",,,,"Griffis2017","field",,"Griffis2017","https://doi.org/10.1073/pnas.1704552114","tower"
2010,"CLM45-BGC-CROP",,,,1.3,"N2O","44_41'19""N","93_4'22""W",,,,"Griffis2017","field",,,,
2016,"CT","25_30","60","percent WHC",3.4,"N2O","16_20'53""N","107_34'47""E","control","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"CT","30_35","60","percent WHC",0.9,"N2O","16_20'53""N","107_34'47""E","control","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"SH1","25_30","60","percent WHC",0.1,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"SH1","30_35","60","percent WHC",1.8,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"SH2","25_30","60","percent WHC",2,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"SH2","30_35","60","percent WHC",0.2,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"SH4","25_30","60","percent WHC",2.1,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"SH4","30_35","60","percent WHC",1.4,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"CC1","25_30","60","percent WHC",0.4,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"CC1","30_35","60","percent WHC",0.1,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"CC2","25_30","60","percent WHC",0.1,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"CC2","30_35","60","percent WHC",6.5,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"CC4","25_30","60","percent WHC",0.2,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
2016,"CC4","30_35","60","percent WHC",1.2,"N2O","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,"GC"
,,,,,,,,,,,,,,,,,
2016,"CT","25_30","60","percent WHC",1.3,"CO2","16_20'53""N","107_34'47""E","control","vegetable field",,"Hoang2018","lab",,,,
2016,"CT","30_35","60","percent WHC",0.7,"CO2","16_20'53""N","107_34'47""E","control","vegetable field",,"Hoang2018","lab",,,,
2016,"SH1","25_30","60","percent WHC",1,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"SH1","30_35","60","percent WHC",1.2,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"SH2","25_30","60","percent WHC",0.7,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"SH2","30_35","60","percent WHC",0.9,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"SH4","25_30","60","percent WHC",1.1,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"SH4","30_35","60","percent WHC",0.8,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"CC1","25_30","60","percent WHC",1.8,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"CC1","30_35","60","percent WHC",0.4,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"CC2","25_30","60","percent WHC",1.6,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"CC2","30_35","60","percent WHC",0.4,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"CC4","25_30","60","percent WHC",2,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
2016,"CC4","30_35","60","percent WHC",0.3,"CO2","16_20'53""N","107_34'47""E","compost","vegetable field",,"Hoang2018","lab",,,,
,,"1_48","43","percent WFPS",2.3,"NO",,,,,,"Kesik2006","lab",,"Ormeci1999","https://doi.org/10.1029/98JD02834",
,,"4_16",,,3.1,"NO",,,,"forest",,"Kesik2006","field",,"Gasche1999","https://doi.org/10.1029/1999JD900294",
,,,,,1.9,"N2O",,,,,,"Kesik2006",,,"Goodroad1984",,
1998,,"10",,,2.4,"CO2",,,,"farm",,"Kesik2006",,,"Fang2001","https://doi.org/10.1016/S0038-0717(00)00125-5",
1998,,"10",,,3.4,"CO2",,,,"forest",,"Kesik2006",,,"Fang2001","https://doi.org/10.1016/S0038-0717(00)00125-5",
1998,,"30",,,2.2,"CO2",,,,"farm",,"Kesik2006",,,"Fang2001","https://doi.org/10.1016/S0038-0717(00)00125-5",
1998,,"30",,,2.9,"CO2",,,,"forest",,"Kesik2006",,,"Fang2001","https://doi.org/10.1016/S0038-0717(00)00125-5",
,"spruce","5_15","55_65","percent WFPS",1.54,,,,,"forest",,"Kesik2006",,,"Papen1999","https://doi.org/10.1029/1999JD900293",
,"spruce","5_15","65_100","percent WFPS",1.95,,,,,"forest",,"Kesik2006",,,"Papen1999","https://doi.org/10.1029/1999JD900293",
,"beech","5_15","0_45","percent WFPS",5.47,,,,,"forest",,"Kesik2006",,,"Papen1999","https://doi.org/10.1029/1999JD900293",
,"beech","5_15","45_55","percent WFPS",7.07,,,,,"forest",,"Kesik2006",,,"Papen1999","https://doi.org/10.1029/1999JD900293",
,"beech","5_15","55_65","percent WFPS",7.39,,,,,"forest",,"Kesik2006",,,"Papen1999","https://doi.org/10.1029/1999JD900293",
,"beech","5_15","65_100","percent WFPS",5.89,,,,,"forest",,"Kesik2006",,,"Papen1999","https://doi.org/10.1029/1999JD900293",
2003,"afforested","0.4_9.4","44_78","percent WFPS",1.9,"NO","63_56'N","23_53'E",,"agriculture",,"Koponen2006","lab",,,,"GC"
2003,"abandoned soil","0.4_9.4","71","percent WFPS",2.1,"NO","63_54'N","23_57'E",,"agriculture",,"Koponen2006","lab",,,,"GC"
2003,"afforested","0.4_9.4","44_78","percent WFPS",6.4,"N2O","63_56'N","23_53'E",,"agriculture",,"Koponen2006","lab",,,,
2003,"abandoned soil","0.4_9.4","71","percent WFPS",1.6,"N2O","63_54'N","23_57'E",,"agriculture",,"Koponen2006","lab",,,,
,,,,,,,,,,,,,,,,,
2003,"afforested","0.4_9.4","44_78","percent WFPS",5.2,"CO2","63_56'N","23_53'E",,"agriculture",,"Koponen2006","lab",,,,"GC"
2003,"abandoned soil","0.4_9.4","71","percent WFPS",4.1,"CO2","63_54'N","23_57'E",,"agriculture",,"Koponen2006","lab",,,,"GC"
2013,,"15_45","82","percent WHC",,"N20","32_48'42.6""N","115_26'37.5""W",,,,"Liang2015","lab",,,,
2013,,"15_45","55","percent WHC",,"N20","32_48'42.6""N","115_26'37.5""W",,,,"Liang2015","lab",,,,
2013,,"15_45","5","percent WHC",,"N20","32_48'42.6""N","115_26'37.5""W",,,,"Liang2015","lab",,,,
,,"5_15","40","percentage field capacity",13,"nitrification",,,,,,"Maag1996","lab",,,,
,,"15_25","40",,12,"nitrification",,,,,,"Maag1996","lab",,,,
,,"25_35","40",,10,"nitrification",,,,,,"Maag1996","lab",,,,
,,"5_15","55",,4.9,"nitrification",,,,,,"Maag1996","lab",,,,
,,"15_25","55",,4.4,"nitrification",,,,,,"Maag1996","lab",,,,
,,"25_35","55",,4,"nitrification",,,,,,"Maag1996","lab",,,,
,,"5_15","70",,5.7,"nitrification",,,,,,"Maag1996","lab",,,,
,,"15_25","70",,5.1,"nitrification",,,,,,"Maag1996","lab",,,,
,,"25_35","70",,4.6,"nitrification",,,,,,"Maag1996","lab",,,,
,,"5_15","85",,2.9,"nitrification",,,,,,"Maag1996","lab",,,,
,,"15_25","85",,2.7,"nitrification",,,,,,"Maag1996","lab",,,,
,,"25_35","85",,2.6,"nitrification",,,,,,"Maag1996","lab",,,,
,,"5_15","100",,1.9,"nitrification",,,,,,"Maag1996","lab",,,,
,,"15_25","100",,1.8,"nitrification",,,,,,"Maag1996","lab",,,,
,,"25_35","100",,1.7,"nitrification",,,,,,"Maag1996","lab",,,,
,"coarse sandy soil","2_25","80",,3.1,"DN (N2O + N2)",,,,,,"Maag1996","lab",,,,"GC"
,"coarse sandy soil","2_25","100",,1.9,"DN (N2O + N2)",,,,,,"Maag1996","lab",,,,"GC"
,"coarse sandy soil","2_25","140",,3.4,"DN (N2O + N2)",,,,,,"Maag1996","lab",,,,"GC"
,"sandy loam soil","2_25","75",,4.9,"DN (N2O + N2)",,,,,,"Maag1996","lab",,,,"GC"
,"sandy loam soil","2_25","100",,8.7,"DN (N2O + N2)",,,,,,"Maag1996","lab",,,,"GC"
,"sandy loam soil","2_25","125",,7.1,"DN (N2O + N2)",,,,,,"Maag1996","lab",,,,"GC"
,"sandy loam soil","2_25","150",,5.6,"DN (N2O + N2)",,,,,,"Maag1996","lab",,,,"GC"
,"sandy loam soil","2_25","175",,8.9,"DN (N2O + N2)",,,,,,"Maag1996","lab",,,,"GC"
,"A","-2_10","14.7_45.7","percent WEOC",,"N2O","98.9627","38.9548",,"meadows",,"Mu2018","lab",,,,
,"B","-2_10","4.9_58.7","percent WEOC",,"N2O","98.963","38.903",,"meadows",,"Mu2018","lab",,,,
,"C","-2_10","51.2_91.0","percent WEOC",,"N2O","100.9163","37.9979",,"meadows",,"Mu2018","lab",,,,
2008,"Co","5_30","39","percent WFPS",1.82,"N2O","45_41'N","126_37'E","control","agriculture",,"Ni2012","field",,,,
2008,"CN","5_30","39","percent WFPS",1.73,"N2O","45_41'N","126_37'E","fertilized","agriculture",,"Ni2012","field",,,,
2008,"Po","5_30","39","percent WFPS",1.8,"N2O","45_41'N","126_37'E","control","agriculture",,"Ni2012","field",,,,
2008,"PN","5_30","39","percent WFPS",2.27,"N2O","45_41'N","126_37'E","fertilized","agriculture",,"Ni2012","field",,,,
2014,,"19_35","83","percent WFPS",2,"N2O","40_23'1""S","175_36'36""E",,"pasture",,"Philips2015","lab",,"Philips2015","https://doi.org/10.1080/00288233.2014.969380",
2014,,"19_35","83","percent WFPS",1.4,"N2","40_23'1""S","175_36'36""E",,"pasture",,"Philips2015","lab",,"Philips2015","https://doi.org/10.1080/00288233.2014.969380",
,,,,,5.3,"N2O",,,,,,"Smith1997","field",,"Blackmer1982","https://doi.org/10.2136/sssaj1982.03615995004600050011x",
,,,,,,,,,,,,"Smith1997","field",,"Brumme1995",,
,,,,,,,,,,,,"Smith1997",,,,,
,,,,,,,,,,,,"Smith1997","field",,"Clayton1994","https://doi.org/10.1029/94JD00218",
